"Format","AiM CSV File"
"Session","CentennialT"
"Vehicle",""
"Racer","Clara"
"Championship",""
"Comment",""
"Date","Sunday, August 18, 2024"
"Time","4:28 PM"
"Sample Rate","20"
"Duration","821"
"Segment","Session"
"Beacon Markers","88.837","160.94","233.542","304.878","375.73","446.924","517.738","589.152","660.717","732.679","821"
"Segment Times","1:28.837","1:12.103","1:12.602","1:11.336","1:10.852","1:11.194","1:10.814","1:11.414","1:11.565","1:11.962","1:28.321"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM"
"s","mph"," ","g","g","deg","deg","deg/s","ft","ft","mph","ft","deg","deg","°C","V","rpm"

"1.600","2.6507","14","0.0509","0.1071","1.6437","100.9436","25.3951","5743.5107","0.0528","0.1000","8.7714","39.56961141","-104.83079534","37.0","4.0","3530"
"1.650","2.7795","14","0.0524","0.1389","1.2468","105.0308","24.9993","5743.4791","0.0525","0.1000","9.3431","39.56961119","-104.83079456","37.0","4.0","3538"
"1.700","2.8117","14","0.0368","0.1576","0.9186","106.6810","16.7058","5743.4643","0.0523","0.1000","14.1433","39.56961099","-104.83079365","37.0","4.0","3561"
"1.750","3.0524","14","-0.0087","0.1645","0.7556","107.2700","-3.5083","5743.4895","0.0519","0.1000","73.1149","39.56961088","-104.83079256","37.0","4.0","3546"
"1.800","3.2803","14","-0.0249","0.1729","1.0596","106.8968","-9.9674","5743.5596","0.0518","0.1000","27.6557","39.56961060","-104.83079151","37.0","4.0","3537"
"1.850","3.4915","14","0.0113","0.1721","1.3302","109.2552","4.2030","5743.6097","0.0514","0.1000","69.8098","39.56961039","-104.83079041","37.0","4.0","3515"
"1.900","3.7036","14","0.0303","0.1742","1.0426","109.4454","10.7246","5743.6257","0.0510","0.1000","29.0201","39.56960998","-104.83078934","37.0","4.0","3551"
"1.950","4.0036","14","0.0310","0.1579","0.8260","106.9148","10.5076","5743.6189","0.0509","0.1000","32.0188","39.56960979","-104.83078807","37.0","4.0","3564"
"2.000","4.1033","14","-0.0068","0.1564","0.7832","104.2053","-2.1881","5743.5239","0.0505","0.1000","157.5879","39.56960950","-104.83078684","37.0","4.0","3550"
"2.050","4.2132","14","-0.0218","0.1544","0.8715","105.9607","-6.7231","5743.4398","0.0502","0.1000","52.6614","39.56960926","-104.83078561","37.0","4.0","3523"
"2.100","4.3179","14","-0.0267","0.1365","1.0168","107.2942","-7.9355","5743.3806","0.0500","0.1000","45.7250","39.56960901","-104.83078438","37.0","4.0","3558"
"2.150","4.3884","14","-0.0081","0.1275","0.6562","108.0108","-2.3561","5743.3153","0.0496","0.1000","156.5172","39.56960887","-104.83078315","37.0","4.0","3579"
"2.200","4.5490","14","0.0044","0.1169","1.0458","110.2767","1.2262","5743.3397","0.0495","0.1000","311.7562","39.56960852","-104.83078207","37.0","4.0","3601"
"2.250","4.7120","14","0.0044","0.1341","0.7770","108.0405","1.1731","5743.3449","0.0492","0.1000","337.5352","39.56960840","-104.83078068","37.0","4.0","3566"
"2.300","4.9976","14","0.0059","0.1505","0.7040","105.5899","1.5409","5743.4202","0.0490","0.1000","272.5387","39.56960823","-104.83077924","37.0","4.0","3577"
"2.350","5.1846","14","0.0027","0.1603","0.7733","104.7416","0.6818","5743.5356","0.0489","0.1000","639.0403","39.56960797","-104.83077784","37.0","4.0","3577"
"2.400","5.2996","14","-0.0212","0.1727","0.8288","106.9569","-5.1747","5743.6269","0.0486","0.1000","86.0624","39.56960764","-104.83077637","37.0","4.0","3593"
"2.450","5.4619","14","-0.0348","0.1790","0.8390","107.6607","-8.2067","5743.7414","0.0485","0.1000","55.9285","39.56960723","-104.83077497","37.0","4.0","3568"
"2.500","5.6453","14","-0.0187","0.1531","0.6886","107.4808","-4.2821","5743.8259","0.0482","0.1000","110.7857","39.56960690","-104.83077348","37.0","4.0","3577"
"2.550","5.8369","14","0.0047","0.1411","0.6760","106.7512","1.0263","5743.9373","0.0480","0.1000","477.9003","39.56960641","-104.83077203","37.0","4.0","3581"
"2.600","5.9935","14","0.0138","0.1358","0.7201","106.0498","2.9662","5744.0758","0.0476","0.1000","169.7983","39.56960604","-104.83077053","37.0","4.0","3575"
"2.650","6.1362","14","0.0110","0.1345","0.8946","105.4364","2.2955","5744.2068","0.0475","0.1000","224.6308","39.56960556","-104.83076906","37.0","4.0","3600"
"2.700","6.2337","14","0.0132","0.1227","0.8695","106.0168","2.7013","5744.2769","0.0472","0.1000","193.9247","39.56960511","-104.83076753","37.0","4.0","3580"
"2.750","6.3603","14","0.0013","0.1242","0.8363","106.6965","0.2809","5744.3826","0.0470","0.1000","1902.9807","39.56960458","-104.83076595","37.0","4.0","3610"
"2.800","6.4618","14","-0.0203","0.1390","0.6729","108.1032","-3.9726","5744.4555","0.0469","0.1000","136.6879","39.56960401","-104.83076439","37.0","4.0","3639"
"2.850","6.6372","14","-0.0275","0.1369","0.7911","107.6381","-5.2633","5744.5909","0.0466","0.1000","105.9702","39.56960356","-104.83076277","37.0","4.0","3599"
"2.900","6.9298","14","-0.0093","0.1380","0.7708","105.7065","-1.7775","5744.7134","0.0464","0.1000","327.6234","39.56960319","-104.83076095","37.0","4.0","3605"
"2.950","7.0840","13","0.0105","0.1491","0.7229","105.0899","1.9291","5744.8416","0.0463","0.1000","308.5910","39.56960272","-104.83075919","37.0","4.0","3585"
"3.000","7.1054","13","-0.0110","0.1466","0.6546","106.4452","-1.9557","5744.9221","0.0463","0.1000","305.3156","39.56960225","-104.83075741","37.0","4.0","3575"
"3.050","7.2344","13","-0.0295","0.1550","0.7577","106.3089","-5.1562","5745.0470","0.0459","0.1000","117.9033","39.56960177","-104.83075564","37.0","4.0","3586"
"3.100","7.4849","13","-0.0198","0.1482","0.7622","106.0674","-3.3994","5745.1952","0.0458","0.1000","185.0300","39.56960146","-104.83075360","37.0","4.0","3618"
"3.150","7.7474","13","0.0010","0.1513","0.7393","105.2707","0.1611","5745.3246","0.0456","0.1000","4040.5838","39.56960111","-104.83075147","37.0","4.0","3617"
"3.200","7.8287","13","0.0131","0.1508","0.8854","104.9624","2.1345","5745.4884","0.0453","0.1000","308.2145","39.56960073","-104.83074932","37.0","4.0","3521"
"3.250","7.9738","13","0.0133","0.1537","0.9882","106.8912","2.1134","5745.6438","0.0453","0.1000","317.0519","39.56960012","-104.83074727","37.0","4.0","3486"
"3.300","8.1438","13","0.0390","0.1494","0.9782","107.0704","6.0900","5745.7759","0.0451","0.1000","112.3736","39.56959967","-104.83074514","37.0","4.0","3517"
"3.350","8.2455","13","0.0482","0.1417","0.8847","105.3039","7.4041","5745.8784","0.0449","0.1000","93.5833","39.56959938","-104.83074290","37.0","4.0","3563"
"3.400","8.4626","13","0.0183","0.1595","0.9961","106.0286","2.7615","5746.0142","0.0446","0.1000","257.5220","39.56959895","-104.83074072","37.0","4.0","3561"
"3.450","8.7124","13","0.0074","0.1575","0.8776","107.8972","1.0900","5746.1648","0.0446","0.1000","671.7007","39.56959835","-104.83073846","37.0","4.0","3600"
"3.500","8.8561","13","0.0022","0.1381","0.9298","107.1688","0.3302","5746.3134","0.0444","0.1000","2254.1168","39.56959787","-104.83073606","37.0","4.0","3637"
"3.550","8.9837","13","-0.0169","0.1271","0.9439","106.1537","-2.3979","5746.4604","0.0443","0.1000","314.8300","39.56959748","-104.83073367","37.0","4.0","3677"
"3.600","9.0249","13","-0.0347","0.1232","0.8971","106.4818","-4.8590","5746.6017","0.0440","0.1000","156.0800","39.56959692","-104.83073131","37.0","4.0","3594"
"3.650","9.1836","13","-0.0354","0.1302","0.9466","107.7747","-4.8822","5746.6890","0.0440","0.1000","158.0711","39.56959631","-104.83072897","37.0","4.0","3580"
"3.700","9.3447","13","-0.0180","0.1182","0.8540","106.5634","-2.4579","5746.7852","0.0438","0.1000","319.4868","39.56959586","-104.83072649","37.0","4.0","3616"
"3.750","9.6447","13","0.0080","0.1274","0.8430","104.5001","1.0700","5746.8689","0.0436","0.1000","757.4678","39.56959553","-104.83072385","37.0","4.0","3637"
"3.800","9.6957","13","-0.0098","0.1372","0.8443","104.7793","-1.2936","5746.9209","0.0433","0.1000","629.8617","39.56959502","-104.83072139","37.0","4.0","3625"
"3.850","9.6353","13","-0.0348","0.1359","0.9394","106.1948","-4.5331","5746.9962","0.0433","0.1000","178.6171","39.56959442","-104.83071895","37.0","4.0","3678"
"3.900","9.8373","13","-0.0011","0.1435","0.9004","106.5328","-0.1511","5747.0551","0.0431","0.1000","5472.3921","39.56959384","-104.83071646","37.0","4.0","3672"
"3.950","10.1554","13","0.0361","0.1532","0.8309","106.9184","4.5324","5747.0783","0.0430","0.1000","188.2881","39.56959317","-104.83071389","37.0","4.0","3624"
"4.000","10.3816","13","0.0066","0.1452","0.7795","106.5753","0.8248","5747.1552","0.0430","0.1000","1057.7850","39.56959251","-104.83071116","37.0","4.0","3609"
"4.050","10.5202","13","-0.0044","0.1435","0.8722","106.3749","-0.5318","5747.2774","0.0427","0.1000","1662.2767","39.56959194","-104.83070851","37.0","4.0","3603"
"4.100","10.5940","13","0.0085","0.1288","0.9639","105.5791","1.0191","5747.3803","0.0425","0.1000","873.5315","39.56959142","-104.83070577","37.0","4.0","3641"
"4.150","10.7576","13","0.0134","0.1356","0.9451","105.4276","1.5849","5747.3903","0.0423","0.1000","570.3834","39.56959092","-104.83070300","37.0","4.0","3641"
"4.200","10.7132","13","-0.0196","0.1347","0.8336","105.9819","-2.2949","5747.3623","0.0423","0.1000","392.2892","39.56959040","-104.83070032","37.0","4.0","3690"
"4.250","10.9975","13","-0.0430","0.1310","0.8577","106.8271","-4.9611","5747.4167","0.0420","0.1000","186.2831","39.56958972","-104.83069742","37.0","4.0","3708"
"4.300","11.1739","13","-0.0352","0.1214","0.9137","105.9657","-4.0126","5747.5024","0.0420","0.1000","234.0071","39.56958921","-104.83069454","37.0","4.0","3708"
"4.350","11.2820","13","-0.0107","0.1152","0.9974","105.4216","-1.2020","5747.5285","0.0417","0.1000","788.7139","39.56958865","-104.83069160","37.0","4.0","3667"
"4.400","11.4297","13","-0.0257","0.1344","1.0495","104.8927","-2.8544","5747.6022","0.0417","0.1000","336.4921","39.56958811","-104.83068857","37.0","4.0","3667"
"4.450","11.5898","13","-0.0344","0.1593","1.0042","106.0264","-3.7768","5747.6522","0.0416","0.1000","257.8721","39.56958752","-104.83068567","37.0","4.0","3656"
"4.500","11.7805","13","-0.0358","0.1533","0.9270","105.4178","-3.8649","5747.6450","0.0413","0.1000","256.1433","39.56958695","-104.83068263","37.0","4.0","3675"
